ID,Date,Company,Title,Location,Link
1,2023-07-01,Experfy,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-experfy-3676190134?refId=mpWyxr%2BaDqXlQaxAAvhNWQ%3D%3D&trackingId=6Pg2My0WLeVdjnshyQUZzw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
2,2023-09-15,Fooda,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-fooda-3714344404?refId=mpWyxr%2BaDqXlQaxAAvhNWQ%3D%3D&trackingId=t17f3GyaNiiu3inWMMqtFw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
3,2023-09-19,Janus Health,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-janus-health-3722186413?refId=mpWyxr%2BaDqXlQaxAAvhNWQ%3D%3D&trackingId=pKOCiwJoFAyVUxzjymNgZg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
4,2023-09-23,City of Chicago,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-city-of-chicago-3727124949?refId=mpWyxr%2BaDqXlQaxAAvhNWQ%3D%3D&trackingId=JSr1I8VID6x1ZUD39E8mKQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
5,2023-07-22,Stripe,"Data Scientist, Growth","Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-growth-at-stripe-3671621331?refId=mpWyxr%2BaDqXlQaxAAvhNWQ%3D%3D&trackingId=cMlE8aaMZLv6XJ5S7aymnA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
6,2023-10-09,Phoenix Cyber,Python Developer [Job ID 20231006],"Elk Grove Village, IL",https://www.linkedin.com/jobs/view/python-developer-job-id-20231006-at-phoenix-cyber-3736116956?refId=mpWyxr%2BaDqXlQaxAAvhNWQ%3D%3D&trackingId=S%2BuiKjkYM2nAcK1Ud%2BbxWA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
7,2023-09-20,UChicago Medicine,Data Scientist - Full Time Remote,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-full-time-remote-at-uchicago-medicine-3728110134?refId=mpWyxr%2BaDqXlQaxAAvhNWQ%3D%3D&trackingId=SPqCZAJ%2BBcV3FcK1Fooo7w%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
8,2023-08-23,Stripe,"Data Scientist, Credit Risk","Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-credit-risk-at-stripe-3701462855?refId=mpWyxr%2BaDqXlQaxAAvhNWQ%3D%3D&trackingId=HXCW3nlc2Ct0ps5q5%2B06Og%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
9,2023-08-25,Gridlines,Machine Learning Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-gridlines-3720786388?refId=mpWyxr%2BaDqXlQaxAAvhNWQ%3D%3D&trackingId=q7cYf%2BDshPDfTGOWEjU%2BMg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
10,2023-07-27,University of Chicago,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-university-of-chicago-3679799845?refId=mpWyxr%2BaDqXlQaxAAvhNWQ%3D%3D&trackingId=sESK9EVOK3vzHBpxsTmZ%2Fg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
