ID,Date,Company,Title,Location,Link
1,2023-08-09,Experfy,Data Scientist,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-experfy-3710938667?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=OKoj4rupkkXlmgq%2Fw6vGiQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
2,2023-10-04,ZymoChem,Data Scientist,"San Leandro, CA",https://www.linkedin.com/jobs/view/data-scientist-at-zymochem-3733592921?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=YYH1ENiycSA9%2BtlF49zHng%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
3,2023-08-16,GrowthBook (YC W22),Experimentation Data Scientist,"Palo Alto, CA",https://www.linkedin.com/jobs/view/experimentation-data-scientist-at-growthbook-yc-w22-3696218613?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=2YUSqtm2%2FLUG7uUjvPkOKg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
4,2023-08-31,Qualia,Data Scientist,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-qualia-3727696223?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=F4ILxTKYPSVp6XS%2B14I8sg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
5,2023-09-27,Grupago,Data Scientist / ML Engineer (Credit Underwriting) (US Based),"San Mateo, CA",https://www.linkedin.com/jobs/view/data-scientist-ml-engineer-credit-underwriting-us-based-at-grupago-3728901560?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=lIf4S5ynQ0843yJRi6zkyw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
6,2023-09-22,Meta,Data Scientist,"Menlo Park, CA",https://www.linkedin.com/jobs/view/data-scientist-at-meta-3725972694?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=Z%2FYGT2%2FuIiVlAYkTM9tsrw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
7,2023-08-31,Hewlett Packard Enterprise,Data Science Graduate,"San Jose, CA",https://www.linkedin.com/jobs/view/data-science-graduate-at-hewlett-packard-enterprise-3701774357?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=PUMjm9bqvzlObsVJ1WOUuw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
8,2023-09-28,"Machinify, Inc.",Data Scientist | ML,"Palo Alto, CA",https://www.linkedin.com/jobs/view/data-scientist-ml-at-machinify-inc-3729486562?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=%2FkVoX2DMtPehqYrJx6baVw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
9,2023-09-30,Ponce Ai,Machine Learning Ops Engineer at AI image-to-image startup,"San Francisco, CA",https://www.linkedin.com/jobs/view/machine-learning-ops-engineer-at-ai-image-to-image-startup-at-ponce-ai-3730784478?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=928vYUZCxTySDlN3tRqiHQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
10,2023-09-22,Meta,"Data Scientist, GBG","Menlo Park, CA",https://www.linkedin.com/jobs/view/data-scientist-gbg-at-meta-3725766837?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=0lLOq%2FKB8ArB82gfqscvOg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
11,2023-09-01,Hewlett Packard Enterprise,Artificial Intelligence (AI)/Machine Learning (ML) Graduate,"San Jose, CA",https://www.linkedin.com/jobs/view/artificial-intelligence-ai-machine-learning-ml-graduate-at-hewlett-packard-enterprise-3702215317?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=dcKbVOoiSOF6EMq3RJSPBw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
12,2023-05-10,Tavus,Machine Learning Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-tavus-3603332905?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=FCA2udSeqN0QUa%2BVD8foFw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
13,2023-10-10,SLB,Data Scientist/Senior Data Scientist,"Menlo Park, CA",https://www.linkedin.com/jobs/view/data-scientist-senior-data-scientist-at-slb-3731037177?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=ZVGIrrJ67OISGC9%2FNz4szA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
14,2023-09-06,Pagoda,"Data Scientist, Growth","San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-growth-at-pagoda-3711771564?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=zbcTYBZeA9eSUaNIYwHIfQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
15,2023-05-05,Software Technology Inc.,Data Scientist,"Santa Clara, CA",https://www.linkedin.com/jobs/view/data-scientist-at-software-technology-inc-3597611233?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=lfSiYMqm2psFxznGYNZc0Q%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
16,2023-10-07,Cyberjin,Machine Learning Infra Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/machine-learning-infra-engineer-at-cyberjin-3735908398?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=TcxAi%2BxphIFLBvyvK9OMVw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
17,2023-10-05,"FocusKPI, Inc.",Data Scientist,"San Bruno, CA",https://www.linkedin.com/jobs/view/data-scientist-at-focuskpi-inc-3734609460?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=OQQL4vduwSz7ZfusdXqcgw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
18,2023-10-07,Cyberjin,Machine Learning Infra Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/machine-learning-infra-engineer-at-cyberjin-3735433101?refId=QoqSub6Nm89CRqCfIrxoSw%3D%3D&trackingId=iUrH3tRwSqRqUDMwzol7Yw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
