ID,Date,Company,Title,Location,Link
1,2023-08-18,Stripe,"Software Engineering, New Grad","Chicago, IL",https://www.linkedin.com/jobs/view/software-engineering-new-grad-at-stripe-3698533826?refId=60PacUgDSTM4%2FdAefmgjQw%3D%3D&trackingId=IgG03gdcMIZYELl%2FC0bUpg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
2,2023-10-07,RedMane Technology LLC,Entry-level Software Developer - Chicago,"Chicago, IL",https://www.linkedin.com/jobs/view/entry-level-software-developer-chicago-at-redmane-technology-llc-3729772654?refId=60PacUgDSTM4%2FdAefmgjQw%3D%3D&trackingId=FADY2AL05tq1riQo3jtCXQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
3,2023-09-22,Clarity Partners,Software Development Internship,"Chicago, IL",https://www.linkedin.com/jobs/view/software-development-internship-at-clarity-partners-3725813214?refId=60PacUgDSTM4%2FdAefmgjQw%3D%3D&trackingId=AU%2F7nD34hrFm%2Fd0tPZcJ4Q%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
4,2023-05-28,Loop,"Software Engineer, Full-Stack","Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-loop-3641783548?refId=60PacUgDSTM4%2FdAefmgjQw%3D%3D&trackingId=b2LeF08UIL%2FarmwVgYKzlw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
5,2023-09-13,Akuna Capital,Software Engineer (Entry-Level) - C++,"Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-entry-level-c%2B%2B-at-akuna-capital-3734281072?refId=60PacUgDSTM4%2FdAefmgjQw%3D%3D&trackingId=zz%2BfmIdmIeK3evbWVKzUVg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
6,2023-08-08,Thoughtful AI,Junior Full-Stack Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/junior-full-stack-engineer-at-thoughtful-ai-3687346652?refId=60PacUgDSTM4%2FdAefmgjQw%3D%3D&trackingId=AuKqkmRW1jET8CXQbV9g0Q%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
7,2023-06-12,SynergisticIT,Junior/Entry Level Software Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/junior-entry-level-software-developer-at-synergisticit-3629523542?refId=60PacUgDSTM4%2FdAefmgjQw%3D%3D&trackingId=RV8VhAOGXHTJuB2MMIT9Rw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
8,2023-09-10,Thentia,Junior Full Stack Developer (Java/Javascript),"Chicago, IL",https://www.linkedin.com/jobs/view/junior-full-stack-developer-java-javascript-at-thentia-3729320212?refId=60PacUgDSTM4%2FdAefmgjQw%3D%3D&trackingId=uj%2FOx%2FX0DIwsoKdtvlI62g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
9,2023-09-21,"Group One Trading, LP",Software Developer Intern,"Chicago, IL",https://www.linkedin.com/jobs/view/software-developer-intern-at-group-one-trading-lp-3723965642?refId=60PacUgDSTM4%2FdAefmgjQw%3D%3D&trackingId=fxae05I9Me1gTKyeT1oUcA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
10,2023-10-09,SkyRecruitment,Entry Level Trainee - Software Developer,"Arlington Heights, IL",https://www.linkedin.com/jobs/view/entry-level-trainee-software-developer-at-skyrecruitment-3734529077?refId=60PacUgDSTM4%2FdAefmgjQw%3D%3D&trackingId=RFMWsN3JM%2Bu0opGN7K7cbQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
11,2023-08-31,Jump Trading Group,Campus Software Engineer (Full-Time),"Chicago, IL",https://www.linkedin.com/jobs/view/campus-software-engineer-full-time-at-jump-trading-group-3690985110?refId=60PacUgDSTM4%2FdAefmgjQw%3D%3D&trackingId=oSXewO6Wj38Y%2FXjIPHGHkw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
