ID,Date,Company,Title,Location,Link
1,2023-10-11,Apple,Software Engineer,"Cupertino, CA",https://www.linkedin.com/jobs/view/software-engineer-at-apple-3731042952?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=G934GbcWAZATVECA3Qx6HQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
2,2023-08-21,Lockheed Martin,Software Engineer - Early Career,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/software-engineer-early-career-at-lockheed-martin-3693012711?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=5n6TDfxXrLbDIhU2v4ohLw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
3,2023-09-27,"Pomelo, Inc.",Software Engineer (Entry Level),"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-entry-level-at-pomelo-inc-3734298904?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=ncMZ0M%2FnYZeOlK5tcIlASA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
4,2023-10-11,Apple,Software Engineer - Apple Journal,"Cupertino, CA",https://www.linkedin.com/jobs/view/software-engineer-apple-journal-at-apple-3729026652?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=s%2B85PBI7ILPTLAjqWrbCew%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
5,2023-08-16,Fieldguide,Software Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-at-fieldguide-3696158160?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=fKxvf370rqA0vbFBKZ36dA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
6,2023-10-02,Lumafield,Frontend Software Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/frontend-software-engineer-at-lumafield-3731703390?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=k0sUkWNk8nm8YnNrEE0FzQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
7,2023-09-19,Conduit,"Software Engineer, New Grad","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-conduit-3716907666?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=OeFYz97tGM4%2BIzfCGzjQAg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
8,2023-03-29,Kikoff,Software Engineer - Recent College Graduate,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-recent-college-graduate-at-kikoff-3575093000?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=6wUlN9JwfmNyDZYXGG55iQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
9,2023-10-11,Apple,Full Stack Developer,"Santa Clara, CA",https://www.linkedin.com/jobs/view/full-stack-developer-at-apple-3630961653?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=pFSEIcSb3KK2wiFKgiyh0g%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
10,2023-10-11,Apple,"Software Engineer, Apple Watch","Cupertino, CA",https://www.linkedin.com/jobs/view/software-engineer-apple-watch-at-apple-3705659193?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=18afL9AB21GgEzmysxC5fg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
11,2023-10-05,Clever Inc.,Software Engineer - Internship,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-internship-at-clever-inc-3733298521?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=vRHTVzG1cgLjzX6b53ABzg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
12,2023-06-28,Seam,Software Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-at-seam-3646360159?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=D9QEvw1ppdcKRA5CAV3BvA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
13,2023-10-11,Apple,"Python Software Engineer, DevOps","Cupertino, CA",https://www.linkedin.com/jobs/view/python-software-engineer-devops-at-apple-3697745296?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=b6JnFjIlfh8%2FLSvC1seYSw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
14,2023-10-11,Apple,Software Development Engineer,"Cupertino, CA",https://www.linkedin.com/jobs/view/software-development-engineer-at-apple-3604582546?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=4DqgW2%2Bg%2BmmlirSD1hy3ag%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
15,2023-10-11,Apple,"Software Engineer, Apple Watch","Cupertino, CA",https://www.linkedin.com/jobs/view/software-engineer-apple-watch-at-apple-3702255958?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=BEulhPSOEBiKsUk5CC3d%2Bg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
16,2023-03-29,Thunkable,Full Stack Engineer (React/Node.js),"San Francisco, CA",https://www.linkedin.com/jobs/view/full-stack-engineer-react-node-js-at-thunkable-3575813719?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=G%2BqPr33X00Vhv0G6vpn90g%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
17,2023-10-03,Khan Academy,Software Engineer Intern,"Mountain View, CA",https://www.linkedin.com/jobs/view/software-engineer-intern-at-khan-academy-3731952425?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=NMPUFoaZjQbFXdBiN5Fd3g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
18,2023-03-28,MoTek Technologies,Software Engineer - JavaScript,"Mountain View, CA",https://www.linkedin.com/jobs/view/software-engineer-javascript-at-motek-technologies-3576839476?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=hDuuY65%2FImYYeXGTw24lXQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
19,2023-10-11,Apple,Software Engineer,"Cupertino, CA",https://www.linkedin.com/jobs/view/software-engineer-at-apple-3682137505?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=ReSyZGG%2FnqhmJeZu91qzAA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
20,2023-08-22,Okcoin,"Software Engineer, New Grad (Backend, Mobile)","San Jose, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grad-backend-mobile-at-okcoin-3697379980?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=TZnUy03uT9UVhqZHgHH2Zw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
21,2023-05-28,Glean,"Software Engineer, Backend","Palo Alto, CA",https://www.linkedin.com/jobs/view/software-engineer-backend-at-glean-3641796545?refId=%2FUvdVc5TnGJRRCr0yRdljA%3D%3D&trackingId=OmGPySKyTtwsJzL9%2FEvoKw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
